DATE,STATION,fire_risk_score
2023-02-24,USW00024257,0.9924016
2023-03-10,USW00023157,0.9906634
2023-02-25,USW00093193,0.9890258
2023-06-01,USW00093193,0.9883654
2023-01-14,USW00093193,0.9870449
2023-12-25,USW00023155,0.9866686
2023-01-20,USW00023157,0.986035
2023-06-08,USW00024257,0.98543614
2023-03-05,USW00023185,0.98502547
2023-06-06,USW00023185,0.9842509
2023-01-05,USW00024257,0.9839864
2023-08-19,USW00023157,0.98248875
2023-12-05,USW00093193,0.9814247
2023-02-23,USW00024257,0.9805468
2023-02-28,USW00023157,0.98045015
2023-01-05,USW00093193,0.9792916
2023-06-06,USW00023157,0.9784913
2023-04-03,USW00023155,0.97785985
2023-01-24,USW00023185,0.9772349
2023-01-09,USW00023157,0.97700375
2023-01-14,USW00023155,0.9758689
2023-01-31,USW00023185,0.97552615
2023-09-14,USW00023157,0.9747762
2023-09-05,USW00024257,0.973736
2023-08-20,USW00023157,0.9734622
2023-01-09,USW00093193,0.972388
2023-06-05,USW00023157,0.9719131
2023-01-04,USW00023185,0.9717854
2023-01-15,USW00024257,0.9712587
2023-01-29,USW00023185,0.97076494
2023-02-23,USW00023157,0.970531
2023-01-08,USW00023157,0.9705065
2023-02-25,USW00023155,0.9702716
2023-09-07,USW00023185,0.96984303
2023-03-02,USW00023157,0.9693877
2023-05-06,USW00024257,0.9684525
2023-12-04,USW00024257,0.9681229
2023-01-07,USW00024257,0.96793056
2023-01-02,USW00023185,0.96753925
2023-08-12,USW00023157,0.9673333
2023-11-02,USW00024257,0.9659959
2023-02-02,USW00023185,0.965965
2023-12-05,USW00023232,0.96595573
2023-03-07,USW00024257,0.96541584
2023-12-05,USW00023185,0.96517974
2023-02-24,USW00093193,0.96467805
2023-01-13,USW00024257,0.9643619
2023-12-31,USW00023188,0.9642191
2023-12-20,USW00023155,0.9641338
2023-06-12,USW00023155,0.9635608
2023-08-20,USW00023185,0.9634818
2023-03-10,USW00024257,0.9633946
2023-02-08,USW00024257,0.96277064
2023-11-15,USW00023155,0.96276015
2023-01-03,USW00023185,0.9625866
2023-02-07,USW00023185,0.96239156
2023-12-15,USW00023185,0.96228623
2023-12-21,USW00024257,0.96203923
2023-07-06,USW00093193,0.9619351
2023-01-09,USW00024257,0.9617261
2023-12-13,USW00093193,0.9610984
2023-09-18,USW00023155,0.96084505
2023-12-29,USW00024257,0.96069133
